id,carat,cut,color,clarity,depth,table,x,y,z,price
3258,1.0,Premium,E,VS2,62.8,60.0,6.36,6.32,3.98,6720
25955,0.9,Fair,H,VS1,65.9,60.0,5.99,5.96,3.94,3500
25906,0.9,Very Good,H,VS2,62.2,58.0,6.11,6.18,3.82,4157
18775,0.5,Good,H,SI1,64.5,58.0,4.97,4.99,3.21,1017
9957,0.3,Ideal,H,VS1,62.4,55.0,4.32,4.34,2.7,545
14923,1.2,Premium,F,SI2,59.9,58.0,6.96,6.9,4.15,6055
15210,1.0,Very Good,E,SI1,59.4,63.0,6.47,6.42,3.83,5322
5540,0.36,Premium,E,SI2,58.5,59.0,4.67,4.63,2.72,475
6596,0.9,Premium,H,I1,58.8,62.0,6.32,6.26,3.7,1599
7206,0.39,Ideal,E,VVS2,61.9,55.0,4.7,4.74,2.92,1034
23337,0.51,Ideal,E,SI2,61.0,56.0,5.16,5.2,3.16,1098
14609,1.52,Ideal,G,SI2,61.3,57.0,7.39,7.36,4.52,8852
4337,1.13,Ideal,E,I1,62.0,55.0,6.7,6.66,4.14,3797
3718,0.4,Ideal,J,VS2,62.3,55.0,4.72,4.75,2.95,598
5955,0.77,Premium,I,VS2,60.3,58.0,5.96,5.94,3.59,2375
17689,1.01,Very Good,F,VVS1,62.1,58.0,6.37,6.41,3.97,9908
4794,0.5,Premium,E,SI2,59.4,60.0,5.21,5.16,3.08,1181
7922,0.31,Premium,E,VS2,60.8,58.0,4.35,4.37,2.65,680
12449,0.3,Ideal,D,VS2,,55.0,4.31,4.34,2.68,710
13286,2.01,Premium,I,SI1,62.4,61.0,8.01,7.99,4.99,15707
5896,1.0,Good,H,SI2,63.9,58.0,6.36,6.28,4.03,3528
241,0.39,Ideal,E,SI1,61.1,55.0,4.74,4.75,2.9,628
24661,0.32,Premium,J,VS2,61.9,58.0,4.38,4.35,2.7,504
5242,0.39,Very Good,I,VS1,63.1,58.0,4.68,4.61,2.93,921
3508,0.5,Very Good,F,SI1,61.4,57.0,5.08,5.12,3.13,1295
3542,0.32,Premium,J,VS1,61.9,58.0,4.39,4.33,2.7,540
5840,0.3,Very Good,H,SI1,62.9,57.0,4.22,4.27,2.67,432
19797,0.6,Very Good,D,VS2,63.7,56.0,5.34,5.36,3.41,2010
7146,0.38,Ideal,E,SI1,60.7,56.0,4.69,4.73,2.86,680
21260,1.25,Premium,H,SI2,60.5,61.0,6.97,6.91,4.2,4200
13136,1.54,Fair,F,SI1,65.8,56.0,7.22,7.18,4.74,10954
21472,0.37,Ideal,I,IF,61.4,55.0,4.65,4.67,2.86,754
17925,0.41,Very Good,F,VS2,62.8,58.0,4.69,4.73,2.96,863
22680,0.79,Premium,H,SI2,61.6,58.0,5.98,5.94,3.67,1998
7271,0.32,Very Good,I,VS1,63.1,56.0,4.4,4.38,2.77,648
19751,0.73,Ideal,H,VVS1,62.1,56.0,5.75,5.8,3.59,3220
25476,1.61,Ideal,G,SI1,61.2,55.0,7.57,7.62,4.65,11192
18041,0.3,Premium,D,SI1,59.7,59.0,4.37,4.34,2.6,709
4648,0.8,Good,D,SI1,63.7,57.0,5.88,5.8,3.72,2738
